,Search,Title,Location,Company,Salary,Summary,Post_Date,Link
0,Business Analyst,Business and Change Analyst,Melbourne City Centre VIC,Level Crossing Removal Project,None,None,Just posted,https://www.indeed.com/rc/clk?jk=3d9c4e66994a1f1a&fccid=4ed120aec6e39181&vjs=3
1,Business Analyst,Business Analyst,Melbourne VIC,CITI,None,None,1 day ago,https://www.indeed.com/rc/clk?jk=2d06631a4a946534&fccid=5bcd1ef0a7f4fb99&vjs=3
2,Business Analyst,"Data Analyst, Business Analyst, Data Visualisation - Melbour...",Melbourne VIC,EY,None,None,2 days ago,https://www.indeed.com/rc/clk?jk=6be01fde9c4c3c44&fccid=1544766d4c2915b0&vjs=3
3,Business Analyst,Business and Change Analyst,Melbourne VIC,Victorian Government,None,None,Just posted,https://www.indeed.com/rc/clk?jk=e5a4c9f2d72d07aa&fccid=1818d10a60db56b4&vjs=3
4,Business Analyst,Senior Business Intelligence Analyst,Melbourne VIC,Victorian Government,None,None,1 day ago,https://www.indeed.com/rc/clk?jk=1589057fe199ec2d&fccid=1818d10a60db56b4&vjs=3
5,Business Analyst,Senior Business Intelligence Analyst,Melbourne City Centre VIC,"Department of Environment, Land, Water and Plannin...",None,None,1 day ago,https://www.indeed.com/rc/clk?jk=a7bf27a1bbecb9b4&fccid=e57f3ff73efefce2&vjs=3
6,Business Analyst,Analyst,Melbourne VIC,Commonwealth Bank,None,None,Just posted,https://www.indeed.com/rc/clk?jk=e8a4645f5e7e3409&fccid=26f47cce54403a22&vjs=3
7,Business Analyst,Contact Centre Business and Data Analyst,Melbourne VIC,Victorian Government,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=86eebac0306a879e&fccid=1818d10a60db56b4&vjs=3
8,Business Analyst,Supply Analyst,Melbourne VIC,Kmart,None,None,Today,https://www.indeed.com/rc/clk?jk=32b6dc8340cbeac6&fccid=a8109ce9cc9fb03c&vjs=3
9,Business Analyst,Business Analyst,Melbourne VIC,WebZeb Solutions,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=1daec6e23def442f&fccid=fd35ff097a2f2c7a&vjs=3
10,Business Analyst,Senior Agile Business Analyst,Melbourne VIC,Victorian Government,None,None,13 days ago,https://www.indeed.com/rc/clk?jk=44b6f3ad201bc8d5&fccid=1818d10a60db56b4&vjs=3
11,Business Analyst,Business Analyst,Melbourne VIC,Dialog Information Technology,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=7b606c749471463e&fccid=3acd1dea12f3f20d&vjs=3
12,Business Analyst,Senior Agile Business Analyst,Melbourne City Centre VIC,"Department of Environment, Land, Water and Plannin...",None,None,13 days ago,https://www.indeed.com/rc/clk?jk=408f3849c52b193b&fccid=e57f3ff73efefce2&vjs=3
13,Business Analyst,"Project Analyst - Scheduling, Dependency & Risk",Melbourne VIC,Victorian Government,"$90,000 a year",None,5 days ago,https://www.indeed.com/rc/clk?jk=afe865c59d835e0b&fccid=1818d10a60db56b4&vjs=3
14,Business Analyst,Physical Security Process Analyst,Melbourne VIC,Telstra,None,None,Today,https://www.indeed.com/rc/clk?jk=3eaa7e6bdcca5306&fccid=37a309344fac585c&vjs=3
15,Business Analyst,Procurement Business Analyst,South Melbourne VIC,Mondelēz International,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=13ffc0214e114009&fccid=0ba2244fbaa16b6c&vjs=3
16,Business Analyst,Senior Business Analyst,Melbourne VIC,Victorian Government,None,None,14 days ago,https://www.indeed.com/rc/clk?jk=b384fa8e816ca37b&fccid=1818d10a60db56b4&vjs=3
17,Business Analyst,RPA Business Analyst,Melbourne VIC,Fortune Select,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=7a6637e0c0bb1e93&fccid=0ddd285ee27b130f&vjs=3
18,Business Analyst,Deutsche Bank Analyst Internship Programme - IB: Corporate F...,Melbourne VIC,Deutsche Bank,None,None,20 days ago,https://www.indeed.com/rc/clk?jk=f386bcf1743a21ee&fccid=f1d8e147024abb3f&vjs=3
19,Business Analyst,"Project Analyst - Scheduling, Dependency & Risk",Melbourne VIC,State Trustees Limited,"$90,000 a year",None,5 days ago,https://www.indeed.com/rc/clk?jk=c8fa6b3c0a45d32c&fccid=c773f94d6515a091&vjs=3
20,Business Analyst,Senior Business Analyst,Melbourne City Centre VIC,Department of Premier & Cabinet,None,None,15 days ago,https://www.indeed.com/rc/clk?jk=eaa489e13fae2f00&fccid=586af099e53e2b0d&vjs=3
21,Business Analyst,"Analyst, Change and Release",Melbourne City Centre VIC,CenITex,None,None,5 days ago,https://www.indeed.com/rc/clk?jk=e22554485f472a1a&fccid=94c735d2fd3f4072&vjs=3
22,Business Analyst,Cloud Business Analyst - Expressions of Interest,Melbourne VIC,Hewlett Packard Enterprise,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=cc95b5557a3f6797&fccid=216eb700022de6f6&vjs=3
23,Business Analyst,Senior Business Process Analyst CRM,Melbourne VIC,CPA Australia,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=92397cd126eb7b96&fccid=9b5b1eb3bfaaef7d&vjs=3
24,Business Analyst,Clinical Costing Analyst,Parkville VIC,The Royal Children's Hospital,None,None,2 days ago,https://www.indeed.com/rc/clk?jk=c37cce84b73614a8&fccid=3fe2dc7b8618be5a&vjs=3
25,Business Analyst,Senior Budget Analyst,Melbourne VIC,Victorian Government,None,None,Today,https://www.indeed.com/rc/clk?jk=bde025c4cb32888b&fccid=1818d10a60db56b4&vjs=3
26,Business Analyst,Physical Security Data and Event Analyst,Melbourne VIC,Telstra,None,None,Today,https://www.indeed.com/rc/clk?jk=2a9e665554b18f0a&fccid=37a309344fac585c&vjs=3
27,Business Analyst,Communications & Policy Analyst,Melbourne VIC,Victorian Government,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=ded9f115fc2ac556&fccid=1818d10a60db56b4&vjs=3
28,Business Analyst,Test Analyst,Melbourne City Centre VIC,"Department of Environment, Land, Water and Plannin...",None,None,1 day ago,https://www.indeed.com/rc/clk?jk=34b3b9a97f257f97&fccid=e57f3ff73efefce2&vjs=3
29,Business Analyst,Senior Budget Analyst,Melbourne City Centre VIC,"Department of Environment, Land, Water and Plannin...",None,None,Today,https://www.indeed.com/rc/clk?jk=ed4fabe9dd698778&fccid=e57f3ff73efefce2&vjs=3
30,Business Analyst,Junior QA Analyst,Melbourne VIC,Mediaocean,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=46f055f86cfa1d15&fccid=0c44ca03cc9d1140&vjs=3
31,Business Analyst,Contact Centre Business and Data Analyst,Melbourne City Centre VIC,Department of Education and Training,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=a98a55e886c6b651&fccid=7ddf4a0143b41e4d&vjs=3
32,Business Analyst,Global Investment Banking & Capital Markets | Summer Analyst...,Melbourne VIC,Bank of America,None,None,30+ days ago,https://www.indeed.com/rc/clk?jk=ab023be7bec61005&fccid=5bd99dfa21c8a490&vjs=3
33,Business Analyst,Communications & Policy Analyst,Melbourne City Centre VIC,Department of Premier & Cabinet,None,None,7 days ago,https://www.indeed.com/rc/clk?jk=24a9c40202325e23&fccid=586af099e53e2b0d&vjs=3
34,Business Analyst,Business Process Analyst,Melbourne VIC,Anton Murray Consulting,"$50,000 - $100,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=f25012d4f7f51a98&fccid=f23308cafac7f4e6&vjs=3
35,Business Analyst,Support Analyst,Melbourne VIC,IRESS Limited,None,None,12 days ago,https://www.indeed.com/rc/clk?jk=f1b9b452eaf8d992&fccid=a71ba7c826202d1b&vjs=3
36,Business Analyst,Test Analyst,Melbourne VIC,Victorian Government,None,None,1 day ago,https://www.indeed.com/rc/clk?jk=a0e656be66de966e&fccid=1818d10a60db56b4&vjs=3
37,Business Analyst,Business Analyst,Melbourne VIC,Michael Page,"$80,000 - $90,000 a year",None,30+ days ago,https://www.indeed.com/rc/clk?jk=b598ba03ab49a925&fccid=77087bd1709a8148&vjs=3
38,Business Analyst,Automation Test Analyst,Melbourne City Centre VIC,Department of Justice and Community Safety,None,None,2 days ago,https://www.indeed.com/rc/clk?jk=4d53c485567a0de5&fccid=4a4f11207655e7b8&vjs=3
39,Business Analyst,Test Analyst,Melbourne VIC,Hydro Tasmania,None,None,9 days ago,https://www.indeed.com/rc/clk?jk=21ef9ecef07c35d6&fccid=9c98b4761cd3b057&vjs=3
40,Business Analyst,Splunk Analyst,Melbourne VIC,UniSuper,None,None,6 days ago,https://www.indeed.com/rc/clk?jk=e706a09039466d46&fccid=7414fd5891b0ddd2&vjs=3
41,Business Analyst,Senior Finance Analyst,Melbourne VIC,Victorian Government,"$98,396 - $119,052 a year",None,3 days ago,https://www.indeed.com/rc/clk?jk=15f677921ba6f98d&fccid=1818d10a60db56b4&vjs=3
42,Business Analyst,Lead Spatial Analyst,Melbourne City Centre VIC,"Department of Environment, Land, Water and Plannin...",None,None,1 day ago,https://www.indeed.com/rc/clk?jk=1e5e05168df1e86e&fccid=e57f3ff73efefce2&vjs=3
