"","ï..","Search","Title","Location","Company","Salary","Summary","Post_Date","Link","description"
"1",0,"Business Analyst","Business and Change Analyst","Melbourne City Centre VIC","Level Crossing Removal Project","None","None","Just posted","https://www.indeed.com/rc/clk?jk=3d9c4e66994a1f1a&fccid=4ed120aec6e39181&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                About us
At LXRP, we're not just removing level crossings, but are removing barriers and creating legacies for our communities for years to come. Inclusion is a priority for us and we are committed to creating an employee community that reflects those in which we work.
We value our role as leaders to actively increase female representation in the transport sector through practical support, professional development and exposure to career opportunities.
We are proud leaders and participants of internship programs that provide opportunities to people who identify as LGBTIQ, people living with a disability, Aboriginal and Torres Strait Islanders, refugees or asylum seekers or people from low socioeconomic backgrounds.
We offer and encourage flexible work practices and purchased leave arrangements for all of our employees to support wellbeing, family or carer commitments or other personal circumstances.
We place great importance on growth, empowering our people to enhance their knowledge, capability and experience through continual learning, formal training and lessons learned.
Health, safety and wellbeing are at the heart of what we do. We focus on the physical, mental and emotional wellbeing of our people to create a safe and healthy workplace for everyone, every day, everywhere.

About the role
As part of a dynamic and results-driven team, you will partner with stakeholders and project teams to understand their needs to confirm scope, requirements and systems required to ensure the successful implementation of technology projects and programs within a Project Management Office.
About you
You will have a strong sense of purpose in helping the project deliver on transforming the way Victorians live, work and travel. You are IT, business analyst, change analyst, or project management qualified, with a strong background in identifying, documenting and managing user requirements; test plans; training requirements, and ongoing support needs for projects. You will have worked on Waterfall and Agile projects and have excellent communication and collaboration skills, establishing you as a solid source of advice and guidance.
What next?
If we've sparked your interest, introduce yourself by submitting a cover letter and CV via the ‘apply now' link. Tell us why you're interested and what capability you bring. That's enough, we do not need you to provide key selection criteria.
If you are interested in this position and we could assist you in making the process more accessible, you can contact us at lxrp-recruitment@levelcrossings.vic.gov.au or call Dijana Krstevski on 0436 814 724.
Need more information?
Visit us here www.levelcrossings.vic.gov.au
Follow us: LinkedIn I Facebook I Instagram I YouTube
Specifics about the role call Richard Botto, Manager PMO & Projects on 0407 244 525
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"2",1,"Business Analyst","Business Analyst","Melbourne VIC","CITI","None","None","1 day ago","https://www.indeed.com/rc/clk?jk=2d06631a4a946534&fccid=5bcd1ef0a7f4fb99&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Securities Services & Issuer Operations (SS&I Ops) has ~5,500 FTE and a budget of ~$450MM. It services multiple products, including Funds Services, Global Custody and Direct Custody and Clearing Services.
The Client Implementations organization, within SS&I Ops, has global responsibility for Client Implementations across these Securities Services products. The team is made up of program managers, project managers and implementation support team members. All three groups within the team work directly with Citi’s clients and internal partners to deliver the implementation of securities services as a solution for the clients, leveraging Citi’s products, platforms and operational teams.
As a Business Analyst, some of your responsibilities would include:
Work closely with Client Implementations Managers and PMO to develop and maintain a centralized repository of all client deals in the region
Partner with Client Implementations managers and Implementation Support Team to timely update all client deals
Analyze data from multiple source systems, find patterns and provide meaningful information to the senior management to help with decision making
Assist regional Client Implementations Head in resource tracking and planning
Assist regional Client Implementations Head and PMO in preparing monthly business reviews and ad hoc reports to senior management
Support PMO Lead to develop metrics, dashboards and project templates
Assist PMO in performing quality assurance reviews of key artefacts for large and medium deals
Job Skills/Qualifications
1-2 years relevant experience in business and data analysis
Project Management experience a plus
Advanced Microsoft Office Suite skills – Word, Advanced Excel, Power Point
Experience in SharePoint
Excellent written and verbal communication skills
Ability to perform under pressure and manage multiple tasks and priorities
Ability to function independently and with others
When you work at Citi, you will be working for an organisation that truly has a global footprint and a powerful network that spans the globe. We celebrate individual ingenuity and use the diversity of our people in order to drive high performance. Through dedicated support, training and resources, we promote our talent and future leaders to bring about lasting and positive impact. Citi Australia is an Employer of Choice for Women and supports a flexible work environment.
Personal information (as defined in the Privacy Act 1988) will be handled in accordance with our Privacy Policy. Please see www.citi.com.au/privacy
-
Grade :
-
Time Type :Full time
-
Citi is an equal opportunity and affirmative action employer.
Minority/Female/Veteran/Individuals with Disabilities/Sexual Orientation/Gender Identity.
Citigroup Inc. and its subsidiaries (""Citi”) invite all qualified interested applicants to apply for career opportunities. If you are a person with a disability and need a reasonable accommodation to use our search tools and/or apply for a career opportunity .
To view the ""EEO is the Law"" poster . To view the EEO is the Law Supplement .
To view the EEO Policy Statement .
To view the Pay Transparency Posting .
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"3",2,"Business Analyst","Data Analyst, Business Analyst, Data Visualisation - Melbour...","Melbourne VIC","EY","None","None","2 days ago","https://www.indeed.com/rc/clk?jk=6be01fde9c4c3c44&fccid=1544766d4c2915b0&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Variety of work and career development opportunities
Choose a career that connects you globally on a daily basis
Be part of a high-performing, supportive cultureAbout EYhttps://www.ey.com/au/shape-the-world
The opportunityEY DnA is the data and advanced analytics capability within EY Asia-Pacific, with over 500 specialist employees working across multiple industry sectors.
We implement information-driven strategies and systems that help grow, optimize and protect client organizations. We go beyond strategy and provide end to end implementation of real-life data environments and have some of the best architects, project managers, business analysts, data scientists, big data engineers, developers and consultants in the region.
You will be mentored and developed by a talented management team and gain exposure to a wide variety of projects that span a range of industry sectors and deliver solutions for our clients. We have a big focus on training so you will have a chance to work across new and different environments and have opportunities to be involved in real Big Data and advanced analytics related projects. You will be involved a variety of activities such as gathering technical requirements, data analysis, data profiling, ETL, data modelling, data visualisation or more across various industries and environments.
With the variety of projects we have running there is no doubt that you will be challenged and learn something new every day. As an organisation we encourage collaboration, training and personal development with dedicated budgets and career frameworks.
This is a great opportunity for someone that loves being involved in complex and challenging environments that are in need of a real solution.
Your key responsibilities
Be a part of one of our successful delivery teams and get an opportunity to move into a more consultative role working across various data environments and helping our clients solve their business problems with data
Be responsible for creating requirement specifications, analysing requirements, creating visual models, facilitating elicitation sessions and digging around in the data when needed
create data design and integration flows to move the data from legacy system, add transformation logic areas and present it in the required formats through harmonized objects that can receive inputs from multiple policy and claims systems
Have knowledge and experience of all phases of software development including requirements analysis, design, coding, testing, defect management
Have experience in business intelligence, data warehousing or advanced analytics projectsSkills and attributes for success
To be successful in this role, you will have:
A degree in IT, computer science or engineering
SQL skills / data analysis skills
ETL skills
Demonstrated business analysis experience
Data visualisation experience
BI reporting tools such as Tableau or Qlikview
Knowledge and experience of all phases of software development (including requirements analysis, design, coding, testing, defect management)
Exposure to business intelligence, data warehousing or advanced analytics projects
Eager to contribute in a team-oriented environment
Able to work creatively and analytically in a problem-solving environment
Strong communicator (verbally and in writing)Ideally, you’ll also have
Experience in engaging with both technical and non-technical stakeholders
Strong consulting experience and background, including engaging directly with clients
Experience in a delivery role on Business Intelligence, Data Warehousing, Big Data or analytics projects
Who are Advisory?
Our Advisory service line focuses on helping clients to improve their performance and manage their risks more effectively. From an improved finance function, enhanced supply chain, or superior customer experience, EY teams are able to offer added value and turn our client’s strategy into reality! This is why Advisory is the fastest-growing service line and an energetic, fast-paced environment. Learn more about Advisory here.

What working at EY offers
Our Total Rewards package includes:
formal or informal flexible working options e.g. remote working, flexible start and finish times
career and learning development e.g. EY badges, career mentoring
an extensive range of wellbeing and benefit offerings e.g. Salary packaging, parental leave and support, health checks
Who we are?
EY is an inclusive and equal opportunity employer offering a vast range of internal networks including Ability EY, our disability network, Unity, our LGBTI network and our Aboriginal and Torres Strait Islander network enabling us all to embrace and value the diverse society we live within. If you have any support or access requirements, we encourage you to advise us at the time of application via contactrecruitment@au.ey.com or +61 1800 017 666.
Make your mark. Apply Now!
The preferred applicant will be subject to employment screening by EY or by their external third party provider.#LI-ANALYTICS
© 2020 Ernst & Young Australia. All Rights Reserved. Liability limited by a scheme approved under Professional Standards Legislation.
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"4",3,"Business Analyst","Business and Change Analyst","Melbourne VIC","Victorian Government","None","None","Just posted","https://www.indeed.com/rc/clk?jk=e5a4c9f2d72d07aa&fccid=1818d10a60db56b4&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Reference: VG/26292E
BC analyst
BUSINESS AND CHANGE ANALYST

About us

At LXRP, we're not just removing level crossings, but are removing barriers and creating legacies for our communities for years to come. Inclusion is a priority for us and we are committed to creating an employee community that reflects those in which we work.
We value our role as leaders to actively increase female representation in the transport sector through practical support, professional development and exposure to career opportunities.
We are proud leaders and participants of internship programs that provide opportunities to people who identify as LGBTIQ, people living with a disability, Aboriginal and Torres Strait Islanders, refugees or asylum seekers or people from low socioeconomic backgrounds.
We offer and encourage flexible work practices and purchased leave arrangements for all of our employees to support wellbeing, family or carer commitments or other personal circumstances.
We place great importance on growth, empowering our people to enhance their knowledge, capability and experience through continual learning, formal training and lessons learned.
Health, safety and wellbeing are at the heart of what we do. We focus on the physical, mental and emotional wellbeing of our people to create a safe and healthy workplace for everyone, every day, everywhere.
About the role

As part of a dynamic and results-driven team, you will partner with stakeholders and project teams to understand their needs to confirm scope, requirements and systems required to ensure the successful implementation of technology projects and programs within a Project Management Office.

About you

You will have a strong sense of purpose in helping the project deliver on transforming the way Victorians live, work and travel. You are IT, business analyst, change analyst, or project management qualified, with a strong background in identifying, documenting and managing user requirements; test plans; training requirements, and ongoing support needs for projects. You will have worked on Waterfall and Agile projects and have excellent communication and collaboration skills, establishing you as a solid source of advice and guidance.

What next?

If we've sparked your interest, introduce yourself by submitting a cover letter and CV via the ‘apply now' link. Tell us why you're interested and what capability you bring. That's enough, we do not need you to provide key selection criteria.

If you are interested in this position and we could assist you in making the process more accessible, you can contact us at lxrp-recruitment@levelcrossings.vic.gov.au or call Dijana Krstevski on 0436 814 724.

Need more information?

Visit us here www.levelcrossings.vic.gov.au

Follow us: LinkedIn I Facebook I Instagram I YouTube

Specifics about the role call Richard Botto, Manager PMO & Projects on 0407 244 525
 Favourite job
 Print
 Share
6 jobs are currently listed for Level Crossing Removal Project
Job type:
Full time / 3 Years
Job classification:
VPSG5
Contact:
Richard Botto Manager, PMO & Projects | 0407 244 525
Job attachments:
LX - Business and Change Analyst - Position Description.pdf
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"5",4,"Business Analyst","Senior Business Intelligence Analyst","Melbourne VIC","Victorian Government","None","None","1 day ago","https://www.indeed.com/rc/clk?jk=1589057fe199ec2d&fccid=1818d10a60db56b4&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Reference: VG/50936694
 Are you able to identify opportunity for development?
 Design and develop complex, regular reports and visualisations
 Fixed term for 3 years Exciting opportunity for a highly organized individual to utilise their business Intelligence capability to enable data driven insights to improve processes and information transparency and support business and operational decision making within the Planning Group and Planning Industry.

The Planning Information Services Branch manages the delivery, support and enhancement of all business technology, information services and systems including spatial systems and services. The team maintains and develops information and spatial systems to enable a high level of service to support the work of the Planning Group and the wider planning industry including local government.

This Senior Business Intelligence Analyst is responsible for providing specialist expertise in the development and delivery of business intelligence projects and building analytics and reporting capability. The position is responsible for designing and developing complex Tableau dashboard reports and creative visualisations of Planning data.

This will bring together data analytics across both a-spatial and spatial datasets to empower the Planning Group to work more efficiently.

Specialist/Technical Expertise
A tertiary degree in a relevant discipline such as IT, Computer Science or Spatial is mandatory.
Demonstrated experience in SQL, Data Management and Data Analysis is mandatory.
Proven hands-on experience with creating data models, reports and dashboards in Tableau is highly desirable.
Experience using the ArcGIS suite of technologies is highly desirable.
Experience with FME and Python is highly desirable.
Excellent analytical and problem-solving skills with the ability to contribute both independently and as part of a team.
This is a fixed term position available for 3 years.

To be considered for this position, your application should include a supporting statement demonstrating that you meet the key selection criteria and any job requirements specified in the position description.

 DELWP will conduct relevant and required checks about applicants and the information provided with an application. Such checks will include but are not limited to:
A Statutory Declaration and Consent form consenting to DELWP contacting current and previous employer(s) to substantiate employment history, past conduct and performance is required.
A satisfactory National Police Check will be required (for all non-DELWP employees).
 Applications close at midnight Tuesday 19 May 2020.

We are building an inclusive workplace to help realise the potential of our employees, embrace our differences, and apply our diverse thinking to innovation and delivering services to Victorian communities. All jobs can be worked flexibly and we encourage job applications from Aboriginal people, people with disabilities, young people and people from culturally diverse backgrounds.
 Favourite job
 Print
 Share
18 jobs are currently listed for Department of Environment, Land, Water and Planning
Job type:
Full time / 3 years
Job classification:
VPSG5
Contact:
Justin Madex | 0436 620 255
Job attachments:
Business Intelligence Analyst PD.docx
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"6",5,"Business Analyst","Senior Business Intelligence Analyst","Melbourne City Centre VIC","Department of Environment, Land, Water and Plannin...","None","None","1 day ago","https://www.indeed.com/rc/clk?jk=a7bf27a1bbecb9b4&fccid=e57f3ff73efefce2&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                The Planning Information Services Branch manages the delivery, support and enhancement of all business technology, information services and systems including spatial systems and services. The team maintains and develops information and spatial systems to enable a high level of service to support the work of the Planning Group and the wider planning industry including local government.
This Senior Business Intelligence Analyst is responsible for providing specialist expertise in the development and delivery of business intelligence projects and building analytics and reporting capability. The position is responsible for designing and developing complex Tableau dashboard reports and creative visualisations of Planning data.
This will bring together data analytics across both a-spatial and spatial datasets to empower the Planning Group to work more efficiently.
Specialist/Technical Expertise
A tertiary degree in a relevant discipline such as IT, Computer Science or Spatial is mandatory.
Demonstrated experience in SQL, Data Management and Data Analysis is mandatory.
Proven hands-on experience with creating data models, reports and dashboards in Tableau is highly desirable.
Experience using the ArcGIS suite of technologies is highly desirable.
Experience with FME and Python is highly desirable.
Excellent analytical and problem-solving skills with the ability to contribute both independently and as part of a team.

This is a fixed term position available for 3 years.
To be considered for this position, your application should include a supporting statement demonstrating that you meet the key selection criteria and any job requirements specified in the position description.
DELWP will conduct relevant and required checks about applicants and the information provided with an application. Such checks will include but are not limited to:
A Statutory Declaration and Consent form consenting to DELWP contacting current and previous employer(s) to substantiate employment history, past conduct and performance is required.
A satisfactory National Police Check will be required (for all non-DELWP employees).

Applications close at midnight Tuesday 19 May 2020.
We are building an inclusive workplace to help realise the potential of our employees, embrace our differences, and apply our diverse thinking to innovation and delivering services to Victorian communities. All jobs can be worked flexibly and we encourage job applications from Aboriginal people, people with disabilities, young people and people from culturally diverse backgrounds.
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"7",6,"Business Analyst","Analyst","Melbourne VIC","Commonwealth Bank","None","None","Just posted","https://www.indeed.com/rc/clk?jk=e8a4645f5e7e3409&fccid=26f47cce54403a22&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                See yourself in our team
Our Business & Corporate Banking (BCB) business serves over 10,000 clients in the medium to large business segment across Australia, with complex financial needs and turnover >$10m.
We are committed to understanding our clients, and delivering insights and creative solutions, to drive sustainable business growth.
Do work that matters
Do you want to work in a collaborative team and help to drive a market to continuing success? Are you currently writing complex credit papers and consider yourself highly skilled in cash flow analysis?
Using your strong analytical mindset, you will focus on analysing and assessing the risk and opportunities on new lending and increases in client credit. You will have the tools and infrastructure to support your team to develop new business opportunities with new and existing clients.
More specifically, you'll:
complete financial modelling and analysis;
prepare credit submissions for new facilities, and coordination of deal execution through documentation and funding;
prepare various reporting requirements such as pipeline leads, calls, contacts and revenues versus plan;
complete performance monitoring and annual reviews for existing clients, and reporting of client financial and operational performance to risk management;
deliver exceptional customer service in all dealings with customers and stakeholders
We want to hear from you if you:
previous experience writing and analysing credit transactions, as well as completing annual reviews and reporting, ideally within commercial and/or corporate banking;
client service experience ideally in a corporate, commercial or business banking environment;
highly developed financial analysis and modelling skills; and
the ability to quickly grasp complex transactions, and ideally have previous 'new to bank' transactional and credit risk experience.
A tertiary qualification in Business/Finance and/or Commerce would be desirable
This is an outstanding opportunity to gain exposure to sophisticated Corporate Banking clients/deals with a strong and successful business.
If you're already part of the Commonwealth Bank Group (including Bankwest), you'll need to apply through Sidekick to submit a valid application. We’re keen to support you with the next step in your career.
We're aware of some accessibility issues on this site, particularly for screen reader users. We want to make finding your dream job as easy as possible, so if you require additional support please contact HR Direct on 1800 989 696.
Advertising End Date: 17/05/2020
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"8",7,"Business Analyst","Contact Centre Business and Data Analyst","Melbourne VIC","Victorian Government","None","None","6 days ago","https://www.indeed.com/rc/clk?jk=86eebac0306a879e&fccid=1818d10a60db56b4&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Reference: VG/DET/SRSG/SOSS27024
Are you a Contact Centre systems expert, with demonstrated experience working with stakeholders to identify systems improvement opportunities? Do you have senior level business analysis experience in the Contact Centre space, coupled with strong data analysis experience? Do you thrive working in a small team delivering big outcomes for internal clients?
Continuous service improvement is important in client service delivery. Analysing the data resulting from client requests and complaints provides the Department with valuable insights that can ultimately be used in decision making around how our services are delivered in early childhood, school, and higher education sectors. Operationally, it is critical to have client service technologies that assist our front-line staff in delivering service that meets or exceeds our client's expectations. Business analysis of our operational needs and problem statements is required to translate into technical system requirements.

For more details regarding this position please see the attached position description. To be considered for this role, the key selection criteria must be responded to.

Department of Education and Training is committed to diversity. The Department places considerable effort and resources into responding to the needs of staff with a disability. People from disadvantaged groups are encouraged to apply for this position. If you require assistance, with the recruitment process, have accessibility or adjustment requirements, please communicate with the contact person listed on this job advertisement or contact the People Division via email: vps.hr.services@edumail.vic.gov.au

Information about the Department of Education and Training's operations and employment conditions can be obtained from the following websites: www.education.vic.gov.au and http://www.education.vic.gov.au/hrweb/Pages/default.aspx.

Applications close 17 May 2020.
 Favourite job
 Print
 Share
12 jobs are currently listed for Department of Education and Training
Job type:
Full time
Job classification:
VPSG5
Contact:
Martha Carr | 8688 7950
Job attachments:
VPSG5 Contact Centre Business and Data Analyst PD.docx
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"9",8,"Business Analyst","Supply Analyst","Melbourne VIC","Kmart","None","None","Today","https://www.indeed.com/rc/clk?jk=32b6dc8340cbeac6&fccid=a8109ce9cc9fb03c&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Work type: Fixed Term Full-timeLocation: VIC MetroCategories: Merchandise - PlannerAbout Kmart

With more than 235 stores and employing over 34,000 people, Kmart is proud to be one of Australia and New Zealand’s largest and most successful retailers.
Serving the needs of Australian and New Zealand families is at the core of who we are as a business, that’s why we are driven to be the place customers rely on for low prices and making every day living brighter.

Culture

You’ll be joining a dynamic team with a fantastic culture where diversity is openly celebrated, and you’ll be challenged and supported to achieve personal and business goals. Expect a work environment that is highly collaborative, fast-paced, inclusive and progressive - with no two days the same! Our values – Think Customer, Take Care, Live Integrity, Grow Together and Reach Higher will resonate with you deeply and you’ll enjoy being part of a growing, iconic Australian business that has a fantastic culture that is non-hierarchical, diverse and inclusive.
What we’re looking for?

Reporting to the Inventory Team Leader, you will be the person replenishing and allocating merchandise to optimise service levels and inventory holdings of DC's and stores for this 12 month fixed term contract. You will be responsible for undertaking regular and proactive analysis of merchandise and store performance in order to maximise the department's financial outcomes. You will also support promotional and marketing programs with sufficient stock.

About You

To succeed in this role you will need a sound knowledge of MS Office including Excel and Outlook mixed with excellent attention to detail and analytical skills. Thorough follow-up skills and exceptional organisational skills, with the ability to work under pressure and meet deadlines, will see you meet the challenges of this role. Retail store experience would be an advantage and an understanding of inventory management within a retail environment would also be highly regarded.

You will be afforded autonomy and accountability in your role and have access to development opportunities across both Kmart and the Wesfarmers Group, excellent remuneration, inclusion in company bonus scheme & access to Wesfarmers share plan (both for eligible team members), free parking and benefits program including a discount card for Kmart, Coles, Target and Officeworks.

At Kmart we aim to ensure our teams reflect the diversity of the communities in which we operate.

Candidates interested in this position should apply directly to this advertisement as we are not accepting applications from recruitment agencies.

#LI-POST1
Advertised: 06 May 2020 AUS Eastern Standard TimeApplications close:
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
"10",9,"Business Analyst","Business Analyst","Melbourne VIC","WebZeb Solutions","None","None","30+ days ago","https://www.indeed.com/rc/clk?jk=1daec6e23def442f&fccid=fd35ff097a2f2c7a&vjs=3","
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'aboveFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                Primary Responsibilities:
 Determine operational objectives by studying business functions; gathering information; evaluating output requirements and formats
 Evaluating business processes, anticipating requirements, uncovering areas for improvement, and developing and implementing solutions
 Leading ongoing reviews of business processes and developing optimization strategies
 Use data modeling practices to analyze your findings and create suggestions for strategic and operational improvements and changes
 Designs new computer programs by analyzing requirements; constructing workflow charts and diagrams; studying system capabilities; writing specifications
 Conducting meetings and presentations to share ideas and findings
 Consider the opportunities and potential risks attached to the suggestions you have made
 Effectively communicating your insights and plans to cross-functional team members and management
 Gathering critical information from meetings with various stakeholders and producing useful reports
 Defines project requirements by identifying project milestones, managing projects, developing project plans, and monitoring performance by establishing project budget
 Monitors project progress by tracking activity, resolving problems, publishing progress reports, recommending actions
 Prioritizing initiatives based on business needs and requirements
 Produce written documentation to support your work, report on your findings and to present to stakeholders when necessary
 Participates in Integration Testing and User Acceptance Testing (UAT) and Functionality Testing
 Managing competing resources and priorities
 Monitoring deliverables and ensuring timely completion of projects
Qualification:
 3-5 years of experience in Business analytics, exploratory analysis, unstructured analysis, and creating analytics datasets
 Should be open to learn quickly on new technologies like ASP.NET, AJAX, SQL Server, SharePoint development and web development
 Proficient in SQL Server, SAS, Tableau and basic to intermediate skills in Amazon Web Services
 Ability to design and develop advanced SQL or PL/SQL stored procedures using RDBMS concepts
                try {
                    window.mosaic.onMosaicApiReady(function() {
                        var zoneId = 'belowFullJobDescription';
                        var providers = window.mosaic.zonedProviders[zoneId];

                        if (providers) {
                            providers.filter(function(p) { return window.mosaic.lazyFns[p]; }).forEach(function(p) {
                                return window.mosaic.api.loadProvider(p);
                            });
                        }
                    });
                 } catch (e) {};
                "
